,buildingN,store_num,store
0,金融街静安中心,33.0,"[全家便利店(长宁支路二店)@(121.432723,31.233346), 罗森便利店(达安花园店)@(121.437823,31.237092), 全家便利店(康定路四店)@(121.436218,31.235245), 全家便利店(长宁路五店)@(121.433558,31.230044), 快客便利店(武宁南路店)@(121.440643,31.235461), 全家便利店(万航渡路三店)@(121.439323,31.23312), 全家便利店(武定二店)@(121.442143,31.233055), 好德便利(镇宁店)@(121.442267,31.2315), 可的便利店(武宁南店)@(121.442552,31.237151), 惠民便利@(121.441972,31.231499), 利民杂货店@(121.432507,31.231291), 顾萍杂货店@(121.434746,31.229839), 华江石油便利店@(121.441732,31.231069), 良友金伴便利店(康定路店)@(121.438632,31.236026), 万像便利店@(121.438424,31.233496), 新新杂货店(万航渡路)@(121.440566,31.232477), 好德便利(宁航店)@(121.441815,31.230241), 365便利店@(121.436348,31.230509), 龙根杂货店@(121.435439,31.22917), 西区老大房(万航渡路店)@(121.438885,31.233295), 城市便利店@(121.435435,31.22918), 益茂祥杂货店@(121.437126,31.230607), 手机便利店@(121.43458,31.230354), 好德@(121.435885,31.229576), 金色便利(万航渡路)@(121.432599,31.236574), u-like mart@(121.433795,31.236752), 常帮银鑫杂货服务社@(121.43239,31.231995), 株式会社伊藤商店@(121.435138,31.2346), 景蔚@(121.438603,31.23086), 定原便利@(121.437105,31.235197), 双城杂货店@(121.437794,31.233831), 家购@(121.439619,31.232945), 晨光生活馆@(121.433592,31.236788)]"
1,万通中心,10.0,"[全家便利店(虹桥天地购物中心)@(121.321935,31.198462), 全家@(121.319358,31.199448), 全家便利店@(121.321252,31.201851), 7-ELEVEN便利店(虹桥店)@(121.322301,31.202392), 爱购便利(虹桥天地购物中心)@(121.32195,31.19963), Family Mart@(121.32198,31.198489), ishop便利店@(121.321961,31.199623), 爱购便利店@(121.323907,31.201316), E-shop@(121.324971,31.200239), I-shop@(121.324943,31.200602)]"
2,上海中心,13.0,"[全家便利店(太平金融大厦店)@(121.510157,31.239811), 全家便利店(上海环球金融中心店)@(121.514111,31.240116), 喜士多便利店(陆家嘴环路店)@(121.5071,31.240778), 喜士多便利店(花旗店)@(121.507141,31.239559), 全家便利店(震旦店)@(121.506267,31.240194), 全家便利店(世纪大道店)@(121.51627,31.241515), 罗森便利店(陆家嘴东路店)@(121.515328,31.243241), 罗森便利店(环球金融中心店)@(121.514465,31.241009), 罗森LAWSON便利店(金茂时尚生活中心店)@(121.512253,31.240783), 中保食堂小卖部@(121.516419,31.242022), 可的便利店(东昌路渡口店)@(121.510131,31.235616), city'super@(121.508381,31.242837), City&#039; Super(国金中心店)@(121.508887,31.242012)]"
3,虹桥万科中心,13.0,"[全家便利店(虹桥天地购物中心)@(121.321935,31.198462), 全家@(121.319358,31.199448), 全家便利店@(121.321252,31.201851), 7-ELEVEN便利店(虹桥店)@(121.322301,31.202392), 爱购便利(虹桥天地购物中心)@(121.32195,31.19963), 爱购便利上海虹桥南NO.11@(121.32714,31.199822), Family Mart@(121.32198,31.198489), 喜士多便利店(虹桥火车站店)@(121.327243,31.199895), 好德便利(虹桥火车站店)@(121.327144,31.200335), ishop便利店@(121.321961,31.199623), 爱购便利店@(121.323907,31.201316), E-shop@(121.324971,31.200239), I-shop@(121.324943,31.200602)]"
4,华鑫天地,7.0,"[全家（虹漕路店）@(121.417414,31.174953), 全家便利店(宜山路七店)@(121.413347,31.178656), 快客(桂箐路)@(121.41144,31.180235), 7-ELEVEN便利店(科产店)@(121.408566,31.178031), 罗森便利店(宜山路店)@(121.41461,31.178589), 好再来便利店@(121.409289,31.176561), 易捷便利店(宜山路)@(121.41644,31.178902)]"
5,新宝中心,5.0,"[好德便利(教育店)@(121.401485,31.362684), 山东水饺宏意便利店@(121.404013,31.355281), 惠民便利店@(121.405152,31.358503), 宝山育联综合商店@(121.403707,31.355927), 上海宝山区泉娣杂货店@(121.398683,31.362009)]"
6,苏河1号,36.0,"[全家便利@(121.462358,31.256942), 全家便利店@(121.463493,31.253489), 罗森便利店(站太店)@(121.461359,31.250041), 罗森便利店@(121.460113,31.253745), 全家便利店(上海火车站店)@(121.46253,31.253455), 全家便利店(长安店)@(121.457971,31.252498), 全家便利店(恒丰路店)@(121.458234,31.254033), 全家便利店(秣陵路店)@(121.459731,31.253898), 快客便利店@(121.461013,31.255626), 罗森便利店(嘉里不夜城2号店)@(121.462986,31.251092), 好德便利(天目西路一店)@(121.45917,31.251749), 实惠便利店@(121.453918,31.257135), 喜士多便利店(中远3门市)@(121.455455,31.258376), 喜士多便利店(天目西店)@(121.461721,31.255713), 罗森便利店(天目西路店)@(121.456171,31.252111), 7-11便利店@(121.463566,31.253438), 良友金伴便利店(天目西店)@(121.457814,31.251375), 易捷便利店(火车站店)@(121.458613,31.258759), 佰畅便利店@(121.457956,31.254613), 快客便利店(苏州店)@(121.453954,31.252319), 吉泰便利店@(121.463359,31.253163), 依苹园便利店@(121.462515,31.252584), 万捷杂货店@(121.455401,31.253936), 小华园商店@(121.461916,31.254168), 海淘屋@(121.459551,31.254185), 易士多(长安大厦店)@(121.45871,31.251434), 好友便利店@(121.461916,31.254168), 玲娟便利店@(121.461916,31.254168), 安源便利@(121.457867,31.251063), 食品超市@(121.461298,31.255736), 新上铁超市@(121.462003,31.255562), 宏鹏便利@(121.461858,31.255741), 上海特产超市@(121.462571,31.256329), 好客食品超市(西南店)@(121.46007,31.255447), 竹龙超市-上海特产@(121.463378,31.253529), 新上铁超市@(121.462014,31.255576)]"
7,绿地科创大厦,28.0,"[全家便利店(曹杨路六店)@(121.424305,31.243619), 全家便利店(长城弘基广场一店)@(121.421737,31.243963), 全家便利店(东新二店)@(121.430737,31.244379), 良友金伴便利店(曹杨路办公楼西北)@(121.427937,31.2403), 春盛商店@(121.43161,31.242338), 好德便利(宁夏店)@(121.42677,31.241673), 迪亚天天便利店(NO.5952店)@(121.425169,31.240016), 光明便利(谈家渡路店)@(121.428115,31.240933), 可的便利店(顺义二店)@(121.426632,31.237835), 好德便利(曹杨店)@(121.427906,31.239381), 易捷便利店(内环高架路出口店)@(121.423046,31.245457), 良友便利@(121.423316,31.239002), 玉兰调剂商店@(121.422032,31.241295), 新圣便利店@(121.428225,31.240975), 立丰食品@(121.43015,31.24372), 好德便利(武宁店)@(121.430176,31.244775), 海城便利店@(121.422008,31.241356), 亚马逊网购全家新中山北路五店自提点@(121.421863,31.244107), 亨通杂货店@(121.429928,31.241791), 普雄杂货店@(121.428334,31.242198), 普陀区杏花烟杂店@(121.430089,31.241638), 天华烟杂店@(121.428192,31.24171), 中石化加油站便利店@(121.422888,31.24534), 君清综合商店@(121.424867,31.237051), 帮帮便利店@(121.423884,31.238642), 余家便利店@(121.427052,31.240926), 品质生活(IMAGO我格广场店)@(121.43009,31.243748), 如平食品店@(121.426182,31.243192)]"
8,soho世纪广场,5.0,"[全家便利店(锦延路店)@(121.548978,31.221371), 罗森便利店@(121.545472,31.222649), 兴介福@(121.550035,31.224522), 世纪公园-小卖部@(121.553904,31.222852), 售货亭(NO.8店)@(121.554093,31.222221)]"
9,上海星汇广场,,
